period_dt,broad_group,total_value,total_qty,unit_price
2021-06-01,Gallium/Germanium,245123655.0,19864518.967,12.3397730097171
2021-06-01,Graphite,111379690.0,54738645.0,2.034754239897608
2021-06-01,Polysilicon,10609778.0,141929.31,74.75396026373974
2021-06-01,Rare Earths,304781609.0,13198540.0,23.09206995622243
2021-07-01,Gallium/Germanium,268981901.0,20388387.247,13.192897395039358
2021-07-01,Graphite,79656291.0,44512909.0,1.7895098925123047
2021-07-01,Polysilicon,10929831.0,138668.848,78.81965674078435
2021-07-01,Rare Earths,328762540.0,12726545.447,25.83281860494974
2021-08-01,Gallium/Germanium,255092042.0,19906027.4,12.814814170305022
2021-08-01,Graphite,89494029.0,52392647.0,1.7081410107032768
2021-08-01,Polysilicon,10772676.0,153182.549,70.32573925898048
2021-08-01,Rare Earths,330954296.0,13283461.525,24.914763021455734
2021-09-01,Gallium/Germanium,296923543.0,21363047.985,13.898931613526496
2021-09-01,Graphite,95993459.0,49610213.0,1.9349535749826352
2021-09-01,Polysilicon,11045251.0,150925.283,73.18356991253745
2021-09-01,Rare Earths,344482774.0,13551749.225,25.419801405748046
2021-10-01,Gallium/Germanium,267746332.0,18796494.128,14.244482517681556
2021-10-01,Graphite,72851372.0,43320085.0,1.6816996550214525
2021-10-01,Polysilicon,15116349.0,458546.74100000004,32.9657756743276
2021-10-01,Rare Earths,336808377.0,12773555.478,26.36762940279923
2021-11-01,Gallium/Germanium,267534168.0,19518896.171,13.70641893149092
2021-11-01,Graphite,91100477.0,57150116.0,1.594055854584792
2021-11-01,Polysilicon,14071608.0,193774.363,72.61852281253532
2021-11-01,Rare Earths,338879240.0,14230549.441,23.81350357588066
2021-12-01,Gallium/Germanium,323457998.0,19997875.424,16.174618110272313
2021-12-01,Graphite,97398361.0,48099836.0,2.0249208542000017
2021-12-01,Polysilicon,15265931.0,163536.0,93.34905464240289
2021-12-01,Rare Earths,361946683.0,14686996.105,24.644023897901075
2022-01-01,Gallium/Germanium,285855881.0,18379396.726999998,15.553061139382631
2022-01-01,Graphite,92417238.0,46562323.0,1.9848072872137414
2022-01-01,Polysilicon,14740333.0,151720.023,97.15482972211257
2022-01-01,Rare Earths,413881604.0,14353997.25,28.833891827588303
2022-02-01,Gallium/Germanium,212279139.0,13503217.184,15.720634283475063
2022-02-01,Graphite,91157890.0,32685637.0,2.7889280542398485
2022-02-01,Polysilicon,12126445.0,157639.816,76.92501366532933
2022-02-01,Rare Earths,316629005.0,10713576.6,29.55399646836893
2022-03-01,Gallium/Germanium,284829668.0,18387131.872,15.490706760728669
2022-03-01,Graphite,94624918.0,30030131.0,3.1509991747954746
2022-03-01,Polysilicon,15110802.0,162042.446,93.25212234823955
2022-03-01,Rare Earths,444115462.0,13170524.447,33.72040830926525
2022-04-01,Gallium/Germanium,355661003.0,17410870.88,20.42752516237143
2022-04-01,Graphite,93274653.0,48585754.0,1.9197942878482446
2022-04-01,Polysilicon,14055400.0,127113.7,110.57344723660786
2022-04-01,Rare Earths,493682885.0,12976365.69,38.0447728427111
2022-05-01,Gallium/Germanium,351593807.0,17675022.22,19.89212814692575
2022-05-01,Graphite,109159493.0,49148851.0,2.2209978621880704
2022-05-01,Polysilicon,16187601.0,197448.358,81.98397375378528
2022-05-01,Rare Earths,543106712.0,14279869.359,38.033030859466706
2022-06-01,Gallium/Germanium,385833716.0,19826134.908999998,19.460864044905307
2022-06-01,Graphite,124500251.0,52625098.0,2.3657960883987332
2022-06-01,Polysilicon,12966541.0,122581.339,105.77907784153018
2022-06-01,Rare Earths,486137459.0,13657054.358000001,35.59606971288296
2022-07-01,Gallium/Germanium,350368972.0,18483236.503000002,18.956040082218927
2022-07-01,Graphite,120783046.0,48826637.406,2.473712146009009
2022-07-01,Polysilicon,16734925.0,175097.80800000002,95.57472586978358
2022-07-01,Rare Earths,530274926.0,13799156.251,38.428068814828585
2022-08-01,Gallium/Germanium,306314046.0,19105487.541,16.032778296950344
2022-08-01,Graphite,148410791.0,56903259.393,2.608124606272675
2022-08-01,Polysilicon,13486397.0,146849.638,91.83813582162183
2022-08-01,Rare Earths,489075049.0,12392745.61,39.46462425609332
2022-09-01,Gallium/Germanium,304408834.0,19102216.553,15.935785941668254
2022-09-01,Graphite,153976618.0,55142655.303,2.7923323088800003
2022-09-01,Polysilicon,16492438.0,253873.55599999998,64.96319766364324
2022-09-01,Rare Earths,436971678.0,12530165.106,34.87357702818764
2022-10-01,Gallium/Germanium,271647344.0,16885055.735,16.08803359984882
2022-10-01,Graphite,156583251.0,49109426.674,3.1884560990588766
2022-10-01,Polysilicon,31033017.0,573847.486,54.07885850701452
2022-10-01,Rare Earths,401044613.0,11577865.197,34.63890848408882
2022-11-01,Gallium/Germanium,270022918.0,18014789.827999998,14.988957438754529
2022-11-01,Graphite,161252175.0,50216459.0,3.2111418887580263
2022-11-01,Polysilicon,8306988.0,131565.225,63.139693638649575
2022-11-01,Rare Earths,408791128.0,11179828.107,36.56506379950909
2022-12-01,Gallium/Germanium,426995931.0,25485448.110999998,16.75449963211361
2022-12-01,Graphite,147759616.0,60771153.118,2.4314104376642907
2022-12-01,Polysilicon,13475610.0,199556.837,67.52767884369705
2022-12-01,Rare Earths,373456370.0,11885723.75,31.42058303349007
2023-01-01,Gallium/Germanium,318621404.0,19606163.807,16.25108344174103
2023-01-01,Graphite,156334750.0,62309396.129999995,2.5090076250109856
2023-01-01,Polysilicon,7510019.0,68556.022,109.54572305843534
2023-01-01,Rare Earths,410692248.0,13814017.883,29.730108320289048
2023-02-01,Gallium/Germanium,285080585.0,17807305.138,16.009193013245483
2023-02-01,Graphite,129055617.0,45899353.793,2.811708800564464
2023-02-01,Polysilicon,13426571.0,223340.972,60.11691844880123
2023-02-01,Rare Earths,324125435.0,8251059.016,39.28288894449474
2023-03-01,Gallium/Germanium,399652598.0,24967642.132,16.006821785056815
2023-03-01,Graphite,156285890.0,62273484.0,2.50966992628837
2023-03-01,Polysilicon,43148725.0,1097505.102,39.31528420357175
2023-03-01,Rare Earths,444096324.0,13531562.515,32.819293670461974
2023-04-01,Gallium/Germanium,359656339.0,23721136.066999998,15.161851354174438
2023-04-01,Graphite,123767624.0,59221315.0,2.0899168483509696
2023-04-01,Polysilicon,15761298.0,317254.043,49.68036924276486
2023-04-01,Rare Earths,428293706.0,13960327.946,30.67934418565843
2023-05-01,Gallium/Germanium,320954131.0,22427905.345,14.310481788775359
2023-05-01,Graphite,128448676.0,63655433.0,2.017874515125834
2023-05-01,Polysilicon,21594403.0,682676.587,31.631966602071266
2023-05-01,Rare Earths,387368015.0,13890928.24,27.886402428064088
2023-06-01,Gallium/Germanium,326969660.0,23564358.741,13.875601861004617
2023-06-01,Graphite,123537101.0,61711084.0,2.001862436900314
2023-06-01,Polysilicon,57277433.0,1805605.901,31.722001444655223
2023-06-01,Rare Earths,367459475.0,14669410.224,25.049369360386088
2023-07-01,Gallium/Germanium,339064154.0,24766432.476999998,13.690472146720401
2023-07-01,Graphite,138910422.0,61332987.093,2.264856622576825
2023-07-01,Polysilicon,23466053.0,933186.767,25.14614847726404
2023-07-01,Rare Earths,360521865.0,14295074.953,25.22000522455043
2023-08-01,Gallium/Germanium,299137506.0,23382432.514,12.793258606472804
2023-08-01,Graphite,123288786.0,56524368.672,2.1811616634839575
2023-08-01,Polysilicon,7320385.0,143880.309,50.87829634839052
2023-08-01,Rare Earths,335562996.0,13413797.296,25.016256664327635
2023-09-01,Gallium/Germanium,311482076.0,21877826.675,14.237340876090471
2023-09-01,Graphite,115015808.0,55889106.928,2.0579288938749882
2023-09-01,Polysilicon,9277915.0,263166.4,35.25493756041804
2023-09-01,Rare Earths,330198266.0,12709538.5,25.980350584720288
2023-10-01,Gallium/Germanium,219754681.0,16949786.854,12.965040970302223
2023-10-01,Graphite,104580369.0,51686047.0,2.0233771988792255
2023-10-01,Polysilicon,10643662.0,507936.83900000004,20.95469590462211
2023-10-01,Rare Earths,272896712.0,11923883.836,22.886562445038567
2023-11-01,Gallium/Germanium,298436657.0,18765283.368,15.903658428570125
2023-11-01,Graphite,176007888.0,88982499.0,1.978005675026052
2023-11-01,Polysilicon,21263349.0,1792957.437,11.8593718742025
2023-11-01,Rare Earths,292647274.0,12484638.476,23.440588573115203
2023-12-01,Gallium/Germanium,304256690.0,20873572.924,14.576167247830007
2023-12-01,Graphite,50267224.0,40743940.0,1.2337349799749362
2023-12-01,Polysilicon,22345339.0,1361762.0,16.409136838889616
2023-12-01,Rare Earths,292856553.0,11767549.176,24.88679236601645
2024-01-01,Gallium/Germanium,225271103.0,20575554.189,10.948482890460046
2024-01-01,Graphite,60767177.0,52825613.0,1.1503354821457539
2024-01-01,Polysilicon,18570096.0,1010222.959,18.38217577076468
2024-01-01,Rare Earths,339831238.0,16320709.349,20.822087492221783
2024-02-01,Gallium/Germanium,208721167.0,18725316.577,11.146469334268495
