period_dt,broad_group,bloc,qty
2020-07-01,Rare Earths,Intermediary,4425206.0
2020-08-01,Gallium/Germanium,Adversary,10215317.735
2020-08-01,Gallium/Germanium,Intermediary,1534730.8360000001
2020-08-01,Graphite,Adversary,18479202.0
2020-08-01,Graphite,Intermediary,14318519.202
2020-08-01,Polysilicon,Adversary,44475.603
2020-08-01,Polysilicon,Intermediary,679.748
2020-08-01,Rare Earths,Adversary,5373323.376
2020-08-01,Rare Earths,Intermediary,4645894.0
2020-09-01,Gallium/Germanium,Adversary,12227512.445
2020-09-01,Gallium/Germanium,Intermediary,1836213.547
2020-09-01,Graphite,Adversary,27647421.0
2020-09-01,Graphite,Intermediary,13076113.569
2020-09-01,Polysilicon,Adversary,47440.681
2020-09-01,Polysilicon,Intermediary,585.0
2020-09-01,Rare Earths,Adversary,5472293.529
2020-09-01,Rare Earths,Intermediary,5063410.0
2020-10-01,Gallium/Germanium,Adversary,14158281.428
2020-10-01,Gallium/Germanium,Intermediary,2493506.0
2020-10-01,Graphite,Adversary,26758252.0
2020-10-01,Graphite,Intermediary,13696576.0
2020-10-01,Polysilicon,Adversary,92392.0
2020-10-01,Polysilicon,Intermediary,36139.152
2020-10-01,Rare Earths,Adversary,5446865.0
2020-10-01,Rare Earths,Intermediary,4699005.0
2020-11-01,Gallium/Germanium,Adversary,14850419.045
2020-11-01,Gallium/Germanium,Intermediary,1884262.163
2020-11-01,Graphite,Adversary,32024420.0
2020-11-01,Graphite,Intermediary,15661094.0
2020-11-01,Polysilicon,Adversary,385584.0
2020-11-01,Polysilicon,Intermediary,48563.998
2020-11-01,Rare Earths,Adversary,5696865.864
2020-11-01,Rare Earths,Intermediary,5258353.104
2020-12-01,Gallium/Germanium,Adversary,15742667.349000001
2020-12-01,Gallium/Germanium,Intermediary,1630960.693
2020-12-01,Graphite,Adversary,25518492.0
2020-12-01,Graphite,Intermediary,15126397.0
2020-12-01,Polysilicon,Adversary,91944.216
2020-12-01,Polysilicon,Intermediary,442.0
2020-12-01,Rare Earths,Adversary,7721425.225
2020-12-01,Rare Earths,Intermediary,5296425.0
2021-01-01,Gallium/Germanium,Adversary,17875643.11
2021-01-01,Gallium/Germanium,Intermediary,1720912.0
2021-01-01,Graphite,Adversary,37280013.736
2021-01-01,Graphite,Intermediary,15277912.0
2021-01-01,Polysilicon,Adversary,48694.445
2021-01-01,Polysilicon,Intermediary,50246.617
2021-01-01,Rare Earths,Adversary,7142651.0
2021-01-01,Rare Earths,Intermediary,5890957.0
2021-02-01,Gallium/Germanium,Adversary,13255947.103
2021-02-01,Gallium/Germanium,Intermediary,874099.379
2021-02-01,Graphite,Adversary,23307422.0
2021-02-01,Graphite,Intermediary,8968609.535
2021-02-01,Polysilicon,Adversary,817839.199
2021-02-01,Polysilicon,Intermediary,2485.91
2021-02-01,Rare Earths,Adversary,6563760.689
2021-02-01,Rare Earths,Intermediary,3504207.547
2021-03-01,Gallium/Germanium,Adversary,18679302.077
2021-03-01,Gallium/Germanium,Intermediary,2407156.0
2021-03-01,Graphite,Adversary,34972222.0
2021-03-01,Graphite,Intermediary,14428713.0
2021-03-01,Polysilicon,Adversary,165552.66
2021-03-01,Polysilicon,Intermediary,21837.415
2021-03-01,Rare Earths,Adversary,7812589.0
2021-03-01,Rare Earths,Intermediary,4350066.0
2021-04-01,Gallium/Germanium,Adversary,15979309.513
2021-04-01,Gallium/Germanium,Intermediary,2599188.272
2021-04-01,Graphite,Adversary,31749591.0
2021-04-01,Graphite,Intermediary,15924708.0
2021-04-01,Polysilicon,Adversary,71264.0
2021-04-01,Polysilicon,Intermediary,671.126
2021-04-01,Rare Earths,Adversary,7153230.873
2021-04-01,Rare Earths,Intermediary,5053029.598999999
2021-05-01,Gallium/Germanium,Adversary,17472542.821000002
2021-05-01,Gallium/Germanium,Intermediary,2253949.0
2021-05-01,Graphite,Adversary,30241501.66
2021-05-01,Graphite,Intermediary,12472277.0
2021-05-01,Polysilicon,Adversary,118394.0
2021-05-01,Polysilicon,Intermediary,428.149
2021-05-01,Rare Earths,Adversary,8034222.8
2021-05-01,Rare Earths,Intermediary,4968236.0
